GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.metric,InMemoryMetricsRepository,43,226,13,19,16,48,13,12,2,7
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new FutureCallback() {...},94,0,4,0,18,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new DefaultRedirectStrategy() {...},8,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandNotFoundException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandFailedException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient,1333,0,122,0,266,0,119,0,58,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterGroupEntity,84,0,0,0,18,0,12,0,12,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppAssignResultVO,49,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterStateSingleVO,53,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionGroupVO,51,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterClientInfoVO,64,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionDescriptorVO,40,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppSingleServerAssignRequest,36,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppFullAssignRequest,36,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,JSONUtils,46,0,0,0,11,0,4,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,VersionUtils,5,105,1,17,3,27,1,9,0,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,MachineUtils,59,0,10,0,16,0,7,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,AsyncUtils,73,0,6,0,18,0,11,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,ClusterEntityUtils,446,0,44,0,86,0,31,0,9,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.v2,FlowControllerV2,456,0,70,0,108,0,42,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule,FlowRuleApiProvider,53,0,4,0,11,0,5,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule,FlowRuleApiPublisher,43,0,8,0,12,0,6,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain,Result,130,0,0,0,31,0,14,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain,ResourceTreeNode,295,0,18,0,92,0,46,0,37,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher,736,0,42,0,163,0,36,0,15,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new DefaultRedirectStrategy() {...},8,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new HashSet() {...},15,0,0,0,5,0,1,0,1,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new FutureCallback() {...},114,0,4,0,20,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.cluster,ClusterAssignController,146,0,20,0,29,0,14,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.cluster,ClusterConfigController,452,0,43,0,104,0,36,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemDegradeRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemoryRuleRepositoryAdapter,207,0,16,0,42,0,18,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemSystemRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemFlowRuleStore,37,0,6,0,10,0,7,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemAuthorityRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemParamFlowRuleStore,33,0,6,0,9,0,7,0,4,0
